 Diffraction intensities for potential:ga5x5_25D10010.in                       
#    -45    11       5.8551566966E-007
#    -45    12       4.6894991903E-006
#    -45    13       2.3282109137E-006
#    -45    14       7.7553857916E-006
#    -45    15       1.1368419528E-006
#    -45    16       4.0159782984E-007
#    -44     7       3.6167899979E-006
#    -44     8       1.1588504780E-006
#    -44     9       2.1302845918E-006
#    -44    10       5.2637842246E-006
#    -44    11       8.1448725138E-006
#    -44    12       5.0203645355E-006
#    -44    13       3.8658141610E-006
#    -44    14       7.5023769991E-007
#    -44    15       1.2100475323E-005
#    -44    16       5.4914026127E-006
#    -44    17       1.3578871237E-008
#    -44    18       1.0907439540E-006
#    -44    19       6.3171853417E-006
#    -44    20       8.0346803614E-006
#    -43     4       3.1817038914E-006
#    -43     5       4.2050011913E-006
#    -43     6       4.6108347411E-006
#    -43     7       4.3662843321E-006
#    -43     8       9.8468906489E-006
#    -43     9       9.5699984853E-006
#    -43    10       1.2022738588E-005
#    -43    11       2.9339330094E-006
#    -43    12       1.9031880773E-006
#    -43    13       2.1238908967E-006
#    -43    14       1.0684215729E-005
#    -43    15       4.4442702271E-006
#    -43    16       2.9200060792E-006
#    -43    17       2.7525947480E-006
#    -43    18       2.6482280841E-006
#    -43    19       1.3274877253E-005
#    -43    20       2.1402885726E-006
#    -43    21       4.2404244715E-006
#    -43    22       2.5687654213E-006
#    -42     2       5.6996146067E-006
#    -42     3       7.4551195474E-006
#    -42     4       6.1499551695E-006
#    -42     5       8.1842201259E-006
#    -42     6       3.0706714602E-006
#    -42     7       1.2151320117E-005
#    -42     8       1.2135890914E-005
#    -42     9       7.2859971352E-006
#    -42    10       1.6418882892E-006
#    -42    11       3.4273120365E-007
#    -42    12       7.3007317644E-006
#    -42    13       9.0848868502E-006
#    -42    14       7.6624896752E-006
#    -42    15       2.7589626177E-006
#    -42    16       6.8085699982E-006
#    -42    17       1.1517946489E-005
#    -42    18       9.9469424116E-006
#    -42    19       6.3920726015E-006
#    -42    20       4.2048202225E-006
#    -42    21       6.0973306091E-006
#    -42    22       1.1939728562E-005
#    -42    23       1.5480634669E-005
#    -41     0       1.3697346584E-006
#    -41     1       5.5531689641E-006
#    -41     2       7.5023570007E-006
#    -41     3       2.9142028965E-006
#    -41     4       3.9480325313E-006
#    -41     5       4.5324382650E-006
#    -41     6       2.6622398189E-006
#    -41     7       7.3554948479E-006
#    -41     8       5.6439021562E-006
#    -41     9       5.9599551175E-006
#    -41    10       2.0453681001E-006
#    -41    11       1.8397216699E-006
#    -41    12       3.0328301948E-005
#    -41    13       1.6111430737E-005
#    -41    14       7.8665233326E-006
#    -41    15       3.1508170622E-006
#    -41    16       1.8519219010E-006
#    -41    17       3.5582594338E-005
