 Diffraction intensities for potential:gv5x5_03D10002.in                       
#    -28    13       1.4623436305E-006
#    -28    14       3.4335910363E-006
#    -28    15       1.9844509465E-006
#    -27     7       4.3779908816E-007
#    -27     8       1.3794323993E-006
#    -27     9       3.3525473057E-007
#    -27    10       2.4521594579E-006
#    -27    11       7.6095577069E-009
#    -27    12       5.2619091545E-007
#    -27    13       2.4320827594E-006
#    -27    14       1.5452280148E-006
#    -27    15       1.2426969092E-006
#    -27    16       8.9553121539E-007
#    -27    17       1.9761851849E-006
#    -27    18       6.0972489515E-006
#    -27    19       4.5603480093E-006
#    -27    20       5.0496664831E-006
#    -26     4       2.4642557788E-006
#    -26     5       5.8241505065E-008
#    -26     6       2.4491114193E-006
#    -26     7       1.5296729196E-006
#    -26     8       3.4285035227E-007
#    -26     9       4.4067869558E-006
#    -26    10       5.4420782519E-007
#    -26    11       8.3656038518E-007
#    -26    12       4.4963671163E-007
#    -26    13       8.4658732774E-006
#    -26    14       5.2259460875E-006
#    -26    15       1.5187927256E-006
#    -26    16       9.3688640214E-008
#    -26    17       5.9811304574E-007
#    -26    18       5.1627509646E-006
#    -26    19       5.6868288989E-006
#    -26    20       8.0208657457E-006
#    -26    21       5.4276814354E-006
#    -26    22       1.6423405748E-006
#    -25     2       3.5909649379E-006
#    -25     3       7.5517552600E-006
#    -25     4       1.2875300750E-007
#    -25     5       8.4506993474E-004
#    -25     6       1.9173792342E-007
#    -25     7       3.7615883865E-006
#    -25     8       1.0369196663E-005
#    -25     9       7.7347047432E-007
#    -25    10       9.2504486302E-004
#    -25    11       4.4884429151E-007
#    -25    12       6.0758297813E-007
#    -25    13       8.1480775198E-008
#    -25    14       1.2912804480E-005
#    -25    15       2.6002334092E-004
#    -25    16       7.1767437691E-006
#    -25    17       3.2184962507E-006
#    -25    18       1.0758292671E-005
#    -25    19       8.4730690496E-006
#    -25    20       2.9052393958E-004
#    -25    21       8.8307230327E-006
#    -25    22       2.9757020474E-005
#    -25    23       3.3657254055E-006
#    -24     0       7.4964679553E-007
#    -24     1       3.5320707725E-006
#    -24     2       1.9260866549E-007
#    -24     3       8.1913428972E-006
#    -24     4       1.1039076499E-005
#    -24     5       8.4551123706E-007
#    -24     6       2.7812521977E-007
#    -24     7       1.6362560424E-006
#    -24     8       1.9435344668E-005
#    -24     9       1.1283937665E-005
#    -24    10       1.5936173423E-006
#    -24    11       3.6771474442E-006
#    -24    12       1.2420575434E-006
#    -24    13       6.2201919775E-006
#    -24    14       5.1520230336E-006
#    -24    15       9.9297507432E-006
#    -24    16       1.9133925978E-005
#    -24    17       3.8554831249E-006
#    -24    18       1.7165433747E-005
#    -24    19       3.2720839695E-005
#    -24    20       1.5910568398E-005
#    -24    21       1.0349941544E-005
#    -24    22       1.9055934541E-006
#    -24    23       1.2925952733E-005
#    -24    24       1.2645255871E-005
#    -23    -2       1.4093807879E-006
#    -23    -1       1.4888683609E-005
#    -23     0       6.3579551234E-006
#    -23     1       4.5515424701E-007
#    -23     2       1.0251886794E-006
#    -23     3       7.6860089336E-006
#    -23     4       2.7404073265E-005
#    -23     5       2.9757657607E-005
#    -23     6       1.9341582552E-007
#    -23     7       7.3919726512E-006
#    -23     8       3.6154548418E-006
#    -23     9       9.4083906815E-006
#    -23    10       2.5771389639E-006
#    -23    11       3.8810912165E-006
#    -23    12       6.1457599055E-006
#    -23    13       1.0047194325E-006
#    -23    14       2.2955279318E-005
#    -23    15       2.4288921738E-005
#    -23    16       9.7820392642E-006
#    -23    17       7.8572517660E-007
#    -23    18       4.8912941777E-006
#    -23    19       1.7441414978E-005
#    -23    20       4.1129987682E-005
#    -23    21       4.1186719293E-005
#    -23    22       3.9876610089E-005
#    -23    23       5.8572334589E-006
#    -23    24       2.8416372073E-006
#    -23    25       7.0821371804E-006
#    -22    -4       4.0068918410E-006
#    -22    -3       1.5137224567E-006
