 Diffraction intensities for potential:gv5x5_15D10005.in                       
#    -28    13       6.5532880944E-006
#    -28    14       6.2307382528E-005
#    -28    15       4.8318853106E-005
#    -27     7       7.0763222561E-005
#    -27     8       6.2774185633E-007
#    -27     9       8.6653797918E-005
#    -27    10       1.8105307671E-005
#    -27    11       3.0559766763E-005
#    -27    12       6.8636601433E-006
#    -27    13       3.0590357528E-006
#    -27    14       1.2306255646E-005
#    -27    15       1.1216761137E-005
#    -27    16       1.0276651387E-004
#    -27    17       6.7245666014E-005
#    -27    18       9.7053717112E-006
#    -27    19       5.1308722306E-006
#    -27    20       1.0983339568E-005
#    -26     4       7.8930157710E-005
#    -26     5       8.0076367043E-006
#    -26     6       3.5776896489E-005
#    -26     7       8.6402109156E-008
#    -26     8       5.0406517478E-005
#    -26     9       1.1527588945E-004
#    -26    10       5.7507848071E-006
#    -26    11       8.0801576727E-005
#    -26    12       2.2766193451E-005
#    -26    13       4.2366478055E-005
#    -26    14       1.7201938190E-005
#    -26    15       1.4053467375E-005
#    -26    16       1.6162811485E-005
#    -26    17       1.4442070147E-004
#    -26    18       7.9758274386E-005
#    -26    19       1.5901441118E-004
#    -26    20       7.6962704310E-005
#    -26    21       1.3778708807E-005
#    -26    22       6.8970828108E-005
#    -25     2       4.3476067785E-004
#    -25     3       1.5052549243E-004
#    -25     4       1.2813593679E-004
#    -25     5       1.2832409364E-003
#    -25     6       9.6961552099E-005
#    -25     7       3.1623853254E-004
#    -25     8       1.0362216866E-004
#    -25     9       3.7652430439E-005
#    -25    10       4.6081809275E-004
#    -25    11       1.2172167912E-005
#    -25    12       2.9817772278E-004
#    -25    13       1.4651868642E-004
#    -25    14       1.1779699079E-005
#    -25    15       2.4928680177E-004
#    -25    16       1.1986756396E-004
#    -25    17       1.2161061351E-004
#    -25    18       1.6362863960E-004
#    -25    19       3.9526056006E-005
#    -25    20       6.8622952353E-004
#    -25    21       2.4675485691E-005
#    -25    22       3.2440661233E-006
#    -25    23       1.0739008522E-004
#    -24     0       3.1095751301E-005
#    -24     1       5.2326853033E-005
#    -24     2       3.0063195216E-004
#    -24     3       6.0591711000E-005
#    -24     4       3.1614747913E-005
#    -24     5       1.7134314263E-004
#    -24     6       9.4367464448E-005
#    -24     7       4.7840838722E-005
#    -24     8       4.1797755113E-007
#    -24     9       1.8209748640E-004
#    -24    10       8.3971521554E-005
#    -24    11       3.6335406597E-004
#    -24    12       2.0455339366E-005
#    -24    13       1.5147393647E-004
#    -24    14       2.2732774852E-004
#    -24    15       6.0285017043E-005
#    -24    16       5.9842673699E-005
#    -24    17       1.3878325594E-004
#    -24    18       8.1150656125E-005
#    -24    19       5.5462393216E-005
#    -24    20       3.9684923963E-005
#    -24    21       6.3950762134E-005
#    -24    22       1.0091334151E-004
#    -24    23       3.7528991410E-004
#    -24    24       3.6217416037E-005
#    -23    -2       2.4923090392E-004
#    -23    -1       5.3768166533E-005
#    -23     0       4.4309660086E-005
#    -23     1       2.1550790437E-005
#    -23     2       1.9849669583E-004
#    -23     3       5.6618000724E-004
#    -23     4       2.8027757899E-005
#    -23     5       8.7613901873E-005
#    -23     6       4.5584921163E-005
#    -23     7       6.3784985425E-004
#    -23     8       5.5656990362E-005
#    -23     9       2.2799836433E-005
#    -23    10       1.1675840921E-004
#    -23    11       3.9422031966E-005
#    -23    12       2.5167416041E-004
#    -23    13       2.5890547457E-004
#    -23    14       5.6250744094E-004
#    -23    15       7.6179044264E-005
#    -23    16       1.4227080595E-004
#    -23    17       2.1841934193E-005
#    -23    18       3.7664616758E-004
#    -23    19       1.4314080962E-004
#    -23    20       4.5813789183E-004
#    -23    21       8.0961517691E-005
#    -23    22       2.1792829227E-004
