 Diffraction intensities for potential:ga5x5_04D10004.in                       
#    -28    13       5.4006796398E-006
#    -28    14       2.0022406182E-005
#    -28    15       7.3014942473E-006
#    -27     7       8.8847306269E-006
#    -27     8       1.8308399949E-004
#    -27     9       2.7014434366E-007
#    -27    10       1.9091574261E-004
#    -27    11       1.0847138824E-004
#    -27    12       1.3309596755E-004
#    -27    13       2.3233771153E-005
#    -27    14       1.6439341599E-005
#    -27    15       4.4285890463E-005
#    -27    16       9.4494530275E-006
#    -27    17       3.8188857099E-006
#    -27    18       2.3556877502E-006
#    -27    19       1.1841944579E-006
#    -27    20       1.6084590534E-005
#    -26     4       8.5222659672E-005
#    -26     5       4.7410518463E-005
#    -26     6       7.4492587293E-005
#    -26     7       2.1614933506E-004
#    -26     8       1.3378938311E-006
#    -26     9       1.3758090567E-004
#    -26    10       2.7648712659E-005
#    -26    11       1.4494238266E-004
#    -26    12       7.6281548879E-005
#    -26    13       2.4694918989E-005
#    -26    14       1.0769487297E-004
#    -26    15       2.9923544766E-005
#    -26    16       7.5948001643E-005
#    -26    17       9.6785894968E-006
#    -26    18       2.0733235630E-005
#    -26    19       2.5674412204E-005
#    -26    20       3.4483277800E-006
#    -26    21       2.7030531028E-005
#    -26    22       1.5996115655E-005
#    -25     2       1.2533057313E-004
#    -25     3       8.3360379835E-005
#    -25     4       5.1916045056E-005
#    -25     5       2.3294760992E-004
#    -25     6       1.0053159489E-005
#    -25     7       4.3210021297E-006
#    -25     8       3.4821827800E-005
#    -25     9       4.4633218362E-005
#    -25    10       5.1872967278E-004
#    -25    11       6.3003932086E-005
#    -25    12       7.8486476676E-005
#    -25    13       9.9939920708E-005
#    -25    14       3.9990753766E-005
#    -25    15       3.8848356754E-005
#    -25    16       4.0533518565E-006
#    -25    17       2.5065370652E-004
#    -25    18       1.0950029009E-004
#    -25    19       8.0360744898E-005
#    -25    20       3.1843247458E-004
#    -25    21       5.1218274605E-006
#    -25    22       1.5602494271E-005
#    -25    23       2.4591641963E-005
#    -24     0       1.0968285262E-005
#    -24     1       3.9549824636E-004
#    -24     2       4.7268251053E-005
#    -24     3       1.1967003181E-004
#    -24     4       2.0222517921E-004
#    -24     5       3.0041458137E-005
#    -24     6       6.8841857059E-005
#    -24     7       3.2579137215E-005
#    -24     8       5.7955291293E-005
#    -24     9       4.7407279424E-005
#    -24    10       6.1314889302E-005
#    -24    11       8.1713003872E-005
#    -24    12       4.0242766776E-005
#    -24    13       4.6051413229E-005
#    -24    14       1.3186414707E-004
#    -24    15       4.5634103657E-006
#    -24    16       9.9478582450E-005
#    -24    17       3.7372247487E-005
#    -24    18       2.2783932929E-004
#    -24    19       6.5189663500E-005
#    -24    20       1.4290089570E-004
#    -24    21       2.6165644507E-005
#    -24    22       1.4923001166E-005
#    -24    23       5.5366745927E-005
#    -24    24       7.2071504205E-007
#    -23    -2       2.8200317733E-005
#    -23    -1       1.2999465750E-004
#    -23     0       1.1601897969E-004
#    -23     1       9.2420101216E-006
#    -23     2       1.6667292313E-004
#    -23     3       7.4185880164E-005
#    -23     4       1.3172601814E-004
#    -23     5       9.6829800296E-005
#    -23     6       1.5782404281E-004
#    -23     7       1.3374793596E-004
#    -23     8       5.6352131661E-005
#    -23     9       7.9141194702E-005
#    -23    10       2.8779908727E-005
#    -23    11       8.3241130257E-005
#    -23    12       3.0387354284E-006
#    -23    13       8.1057597746E-005
#    -23    14       1.8009347076E-006
#    -23    15       1.7204380780E-004
#    -23    16       1.2688852796E-005
#    -23    17       2.4135893074E-004
#    -23    18       2.0917593650E-005
#    -23    19       1.7587044471E-004
#    -23    20       1.2165682087E-004
#    -23    21       9.7269707200E-005
#    -23    22       9.9209453027E-005
#    -23    23       4.4320453486E-005
#    -23    24       9.0108506721E-005
#    -23    25       1.1845236117E-006
#    -22    -4       7.6156552692E-005
#    -22    -3       8.5592837267E-007
#    -22    -2       1.0689812017E-004
#    -22    -1       4.6341398523E-005
#    -22     0       1.1984000738E-004
#    -22     1       1.8920450534E-004
#    -22     2       4.5164487562E-006
#    -22     3       2.4320479071E-004
#    -22     4       9.2540924262E-005
#    -22     5       1.9382644804E-004
#    -22     6       6.4753816922E-005
#    -22     7       4.3243019689E-005
#    -22     8       1.4008099453E-004
#    -22     9       1.6434886050E-005
#    -22    10       1.3005891690E-004
#    -22    11       1.4769009959E-005
#    -22    12       7.0160480821E-005
#    -22    13       3.9156479403E-005
#    -22    14       7.1689829527E-005
#    -22    15       2.6255221355E-005
#    -22    16       4.2899107779E-005
#    -22    17       1.7708810832E-006
#    -22    18       8.2376238590E-005
#    -22    19       2.8827027248E-005
#    -22    20       1.0507494750E-004
#    -22    21       7.2872363351E-005
#    -22    22       9.7045805384E-005
#    -22    23       4.3734329480E-005
#    -22    24       1.8508720016E-005
#    -22    25       4.6143523081E-005
#    -22    26       7.7595521876E-006
#    -21    -5       1.2360091712E-005
#    -21    -4       4.5567039595E-005
#    -21    -3       1.3048082728E-004
#    -21    -2       6.3820125019E-006
#    -21    -1       1.4285128786E-004
#    -21     0       8.8419012710E-005
#    -21     1       8.5996841928E-005
#    -21     2       9.6988713786E-005
#    -21     3       3.8696988198E-007
#    -21     4       2.4165087958E-004
#    -21     5       5.4899017982E-005
#    -21     6       1.0310342647E-004
#    -21     7       2.2059581709E-004
#    -21     8       8.3933739981E-005
#    -21     9       1.3719628761E-004
#    -21    10       8.8739608774E-005
#    -21    11       1.3873418779E-004
#    -21    12       1.3103471065E-004
#    -21    13       2.0721341059E-004
#    -21    14       1.0322918757E-004
#    -21    15       3.9022298255E-005
#    -21    16       7.4205666220E-005
#    -21    17       7.5023044357E-006
#    -21    18       4.6151423084E-005
#    -21    19       4.1298918890E-005
#    -21    20       5.1996015406E-006
#    -21    21       3.6753284925E-005
#    -21    22       1.7265175649E-005
#    -21    23       3.2784981726E-005
#    -21    24       5.8712935124E-005
#    -21    25       9.1741958459E-006
#    -21    26       1.3989428774E-005
#    -20    -7       6.2484569699E-005
#    -20    -6       1.0395704121E-005
#    -20    -5       2.8182795887E-004
#    -20    -4       3.3416600118E-005
#    -20    -3       5.4616449225E-005
#    -20    -2       1.4170514733E-004
#    -20    -1       8.5519650416E-006
#    -20     0       6.4168008051E-003
#    -20     1       3.1148452676E-005
#    -20     2       1.6440289326E-005
#    -20     3       2.0566241288E-004
#    -20     4       2.0541151358E-007
#    -20     5       1.0885904754E-002
#    -20     6       3.5722034050E-005
#    -20     7       7.8677114971E-005
#    -20     8       9.6727436101E-005
#    -20     9       1.2315404483E-004
#    -20    10       4.7442756192E-003
#    -20    11       8.8149476644E-005
#    -20    12       2.2047015642E-004
#    -20    13       1.2417841759E-004
#    -20    14       6.7244137172E-005
#    -20    15       5.8213197860E-003
#    -20    16       2.3320153707E-005
#    -20    17       1.6108304659E-004
#    -20    18       6.5592463852E-006
#    -20    19       2.5373994538E-005
#    -20    20       1.9037407519E-003
#    -20    21       2.9441760260E-006
#    -20    22       1.2540439190E-004
#    -20    23       3.9430736882E-005
#    -20    24       1.0259376679E-004
#    -20    25       5.2454524782E-004
#    -20    26       2.1070925180E-005
#    -20    27       9.3250323743E-006
#    -19    -8       1.5521045185E-005
#    -19    -7       1.3624782295E-005
#    -19    -6       1.1518761705E-004
#    -19    -5       9.5367994100E-006
#    -19    -4       7.0500190364E-005
#    -19    -3       5.1539416773E-005
#    -19    -2       4.6986493451E-005
#    -19    -1       8.2271568744E-005
#    -19     0       4.2363399255E-006
#    -19     1       1.0680365793E-004
#    -19     2       9.8738455198E-005
#    -19     3       5.3816965334E-005
#    -19     4       2.0837405598E-004
#    -19     5       2.2493171138E-005
#    -19     6       1.5485022412E-005
#    -19     7       7.2940527458E-005
#    -19     8       7.6325811850E-006
#    -19     9       1.9361205150E-004
#    -19    10       7.4669200536E-005
#    -19    11       8.3322170039E-005
#    -19    12       2.3689800329E-004
#    -19    13       7.0529512062E-005
#    -19    14       2.6299124056E-004
#    -19    15       8.2410607816E-005
#    -19    16       1.7408312933E-004
#    -19    17       2.6632369105E-005
#    -19    18       6.9536221623E-005
#    -19    19       3.8252093168E-005
#    -19    20       7.3025976274E-005
#    -19    21       6.6045517552E-005
#    -19    22       1.9110534974E-005
#    -19    23       4.2623646828E-005
#    -19    24       9.8535498829E-006
#    -19    25       4.3730796511E-005
#    -19    26       2.5296170831E-005
#    -19    27       1.2675018340E-005
#    -18    -9       1.6180494145E-005
#    -18    -8       3.8679546879E-005
#    -18    -7       7.2995098709E-005
#    -18    -6       7.4420160319E-006
#    -18    -5       1.0363954467E-004
#    -18    -4       1.9176498012E-007
#    -18    -3       1.7387277142E-004
#    -18    -2       6.8492955901E-005
#    -18    -1       2.0842227995E-004
#    -18     0       2.7199105594E-004
#    -18     1       7.3646823759E-005
#    -18     2       2.6261031054E-004
#    -18     3       3.7926484873E-005
#    -18     4       1.5013452421E-004
#    -18     5       4.9532584295E-005
#    -18     6       1.2436045896E-004
#    -18     7       3.2826076236E-005
#    -18     8       9.7085827210E-005
#    -18     9       7.0930403496E-005
#    -18    10       1.3267632910E-005
#    -18    11       1.5612829405E-004
#    -18    12       6.7563118731E-005
#    -18    13       6.8941037816E-005
#    -18    14       4.0276065381E-005
#    -18    15       8.7444910074E-005
#    -18    16       5.0831545091E-007
#    -18    17       1.4727411259E-004
#    -18    18       2.6604981944E-007
#    -18    19       3.9998100067E-005
#    -18    20       3.1423418223E-006
#    -18    21       1.3006871541E-006
#    -18    22       9.5308149379E-005
#    -18    23       2.5074658932E-005
#    -18    24       6.3041092851E-005
#    -18    25       1.8979396401E-007
#    -18    26       2.7753856420E-005
#    -18    27       1.1370914053E-006
#    -17   -10       1.4988190501E-005
#    -17    -9       7.1041807405E-006
#    -17    -8       6.5365826059E-005
#    -17    -7       1.7633517859E-005
#    -17    -6       1.1144623246E-005
#    -17    -5       1.1233413394E-005
#    -17    -4       6.9309859892E-005
#    -17    -3       2.2971244712E-005
#    -17    -2       3.7487014260E-004
#    -17    -1       1.8068668592E-005
#    -17     0       2.8053074500E-004
#    -17     1       7.2774848377E-005
#    -17     2       2.8530617996E-005
#    -17     3       2.1683033787E-004
#    -17     4       1.5098385194E-005
#    -17     5       2.1207006819E-004
#    -17     6       2.9961277351E-005
#    -17     7       4.9821343272E-005
#    -17     8       1.4426100284E-004
#    -17     9       4.8645361196E-005
#    -17    10       1.3326657443E-004
#    -17    11       5.4921085247E-005
#    -17    12       1.3739542990E-005
#    -17    13       2.6679458082E-005
#    -17    14       7.1912662550E-005
#    -17    15       2.6958888911E-005
#    -17    16       5.9829932896E-005
#    -17    17       2.1513093681E-006
#    -17    18       6.7565478990E-006
#    -17    19       1.5006609181E-005
#    -17    20       5.4667763125E-005
#    -17    21       1.9419510943E-005
#    -17    22       6.0311253955E-005
#    -17    23       1.3503028776E-005
#    -17    24       3.5510233900E-006
#    -17    25       1.6821553301E-005
#    -17    26       7.3687174434E-006
#    -17    27       1.7897709612E-005
#    -16   -11       2.0354831903E-005
#    -16   -10       5.0687521773E-005
#    -16    -9       2.1272284077E-006
#    -16    -8       2.9574219325E-005
#    -16    -7       3.3379884372E-005
#    -16    -6       3.6235022428E-005
#    -16    -5       5.9611305857E-006
#    -16    -4       9.6853790931E-006
#    -16    -3       1.5545908916E-004
#    -16    -2       3.8083008243E-005
#    -16    -1       3.7663021349E-004
#    -16     0       9.9600144071E-005
#    -16     1       2.8768949362E-004
#    -16     2       1.6810672842E-004
#    -16     3       4.8735973597E-005
#    -16     4       1.1392578519E-004
#    -16     5       1.6278649386E-005
#    -16     6       1.2892090740E-004
#    -16     7       4.7274037488E-005
#    -16     8       2.3616685482E-004
#    -16     9       5.9082137922E-005
#    -16    10       1.6552546870E-004
#    -16    11       1.5841077659E-004
#    -16    12       8.0218944764E-005
#    -16    13       1.6234436725E-004
#    -16    14       3.8623537137E-005
#    -16    15       4.2431503979E-005
#    -16    16       4.3440011733E-005
#    -16    17       2.2574818996E-005
#    -16    18       9.7734502524E-005
#    -16    19       6.4307867908E-006
#    -16    20       3.4577164837E-005
#    -16    21       3.7179816555E-005
#    -16    22       3.3466619899E-005
#    -16    23       1.0914406625E-004
#    -16    24       3.0873021866E-005
#    -16    25       5.1105002172E-005
#    -16    26       2.3588214278E-005
#    -16    27       7.2029353449E-006
#    -15   -13       3.8514796920E-006
#    -15   -12       6.5518513326E-005
#    -15   -11       1.0386182929E-005
#    -15   -10       1.1100097914E-003
#    -15    -9       6.8893704580E-006
#    -15    -8       1.6379283620E-005
#    -15    -7       5.7752653431E-005
#    -15    -6       2.0150140142E-005
#    -15    -5       1.0801564148E-002
#    -15    -4       4.0194058379E-005
#    -15    -3       9.0111463111E-006
#    -15    -2       3.8855584034E-004
#    -15    -1       6.7819056865E-007
#    -15     0       3.8872513964E-002
#    -15     1       2.1658912150E-007
#    -15     2       2.1775789002E-004
#    -15     3       2.4380509396E-005
#    -15     4       1.0044078551E-005
#    -15     5       1.5001782052E-002
#    -15     6       9.8607935825E-006
#    -15     7       4.7376612669E-005
