 Diffraction intensities for potential:ga5x5_07D10001.in                       
#    -28    13       3.7875538242E-007
#    -28    14       7.2992667084E-006
#    -28    15       2.1925252784E-005
#    -27     7       1.4201178966E-005
#    -27     8       3.6448560651E-006
#    -27     9       4.3571533287E-006
#    -27    10       3.0496855908E-005
#    -27    11       6.1703962121E-005
#    -27    12       1.2209003408E-005
#    -27    13       9.7363526235E-006
#    -27    14       2.3095548923E-005
#    -27    15       6.1611361604E-005
#    -27    16       1.7016859635E-004
#    -27    17       1.7967602209E-005
#    -27    18       3.0302187681E-006
#    -27    19       2.4706472440E-006
#    -27    20       4.9164580336E-005
#    -26     4       1.8313925471E-005
#    -26     5       3.0803362074E-006
#    -26     6       3.0826443282E-005
#    -26     7       1.5557638231E-004
#    -26     8       1.0868142448E-005
#    -26     9       3.4664379503E-005
#    -26    10       1.7960823822E-005
#    -26    11       1.0126468416E-005
#    -26    12       6.4795407738E-005
#    -26    13       3.3177422117E-005
#    -26    14       1.4374433274E-005
#    -26    15       6.4790034555E-006
#    -26    16       4.8698578481E-005
#    -26    17       2.3771485016E-005
#    -26    18       7.7402474464E-006
#    -26    19       5.7485875533E-005
#    -26    20       2.1029344141E-005
#    -26    21       8.0801387123E-007
#    -26    22       3.1605385790E-005
#    -25     2       7.7346416911E-005
#    -25     3       2.9729988039E-005
#    -25     4       3.5651552405E-005
#    -25     5       7.9004672609E-004
#    -25     6       4.5673354527E-005
#    -25     7       1.2530941667E-004
#    -25     8       2.6827249194E-005
#    -25     9       5.2887687310E-005
#    -25    10       9.4761615645E-004
#    -25    11       3.1877523999E-005
#    -25    12       3.5130043052E-005
#    -25    13       7.8516967103E-005
#    -25    14       3.1162018088E-005
#    -25    15       5.1842161929E-004
#    -25    16       1.9987584398E-005
#    -25    17       6.9331874532E-005
#    -25    18       3.7371656743E-005
#    -25    19       3.7324258433E-006
#    -25    20       3.8027445959E-004
#    -25    21       2.0136800208E-005
#    -25    22       9.6074492992E-005
#    -25    23       5.8368145044E-005
#    -24     0       4.0037268659E-005
#    -24     1       1.1699980001E-005
#    -24     2       6.7661844673E-005
#    -24     3       2.6123061834E-004
#    -24     4       9.8564453195E-005
#    -24     5       9.2949324888E-007
#    -24     6       4.3724529934E-005
#    -24     7       2.7868774519E-005
#    -24     8       6.1057500767E-005
#    -24     9       1.4832129385E-004
#    -24    10       5.1570175440E-005
#    -24    11       8.7348043539E-005
#    -24    12       2.8066142668E-005
#    -24    13       9.0017188407E-006
#    -24    14       7.8840219086E-005
#    -24    15       2.3949031433E-005
#    -24    16       2.1691460059E-005
