 Diffraction intensities for potential:gv5x5_02D10001.in                       
#    -28    13       8.9283353395E-007
#    -28    14       1.2689562947E-006
#    -28    15       9.6851586910E-006
#    -27     7       1.0423680727E-006
#    -27     8       2.1104598374E-006
#    -27     9       2.2165524710E-006
#    -27    10       2.8434405686E-006
#    -27    11       6.2582421357E-006
#    -27    12       6.9471697373E-006
#    -27    13       3.8486175386E-005
#    -27    14       2.7413485012E-005
#    -27    15       1.9952541211E-006
#    -27    16       1.4787711500E-005
#    -27    17       4.2439456613E-005
#    -27    18       1.6628698220E-005
#    -27    19       3.1839714965E-005
#    -27    20       6.3410414270E-006
#    -26     4       3.1082498464E-006
#    -26     5       6.1660522264E-007
#    -26     6       2.7942239915E-007
#    -26     7       2.1531424764E-006
#    -26     8       6.0787456472E-006
#    -26     9       3.9434529250E-006
#    -26    10       1.1964483194E-005
#    -26    11       1.3846600432E-005
#    -26    12       6.3225623074E-006
#    -26    13       1.1863843947E-007
#    -26    14       3.8654216906E-005
#    -26    15       6.5058642512E-005
#    -26    16       5.1197101201E-005
#    -26    17       3.8116227077E-006
#    -26    18       1.2180681396E-006
#    -26    19       9.3730863354E-005
#    -26    20       6.5472926935E-005
#    -26    21       9.4797857555E-006
#    -26    22       9.8230645556E-006
#    -25     2       9.1522379918E-007
#    -25     3       6.0692787042E-007
#    -25     4       2.7108344732E-006
#    -25     5       8.2013538309E-004
#    -25     6       1.5062841614E-005
#    -25     7       7.0641375773E-006
#    -25     8       2.3616739410E-006
#    -25     9       7.4318336081E-006
#    -25    10       1.1039987228E-003
#    -25    11       8.5307485322E-006
#    -25    12       8.3019101353E-005
#    -25    13       4.9479223090E-005
#    -25    14       3.0179906780E-006
#    -25    15       5.0973875057E-004
#    -25    16       5.0826702050E-005
#    -25    17       1.2561720589E-004
#    -25    18       4.8202169424E-005
#    -25    19       1.3626891199E-005
#    -25    20       2.7917979479E-004
#    -25    21       5.4478017984E-005
#    -25    22       3.6070973391E-005
#    -25    23       2.5499677341E-005
#    -24     0       9.5467578604E-007
#    -24     1       5.9747922190E-007
#    -24     2       3.7799182584E-006
#    -24     3       6.8591146255E-007
#    -24     4       5.1841160601E-007
#    -24     5       3.0984739511E-006
#    -24     6       1.1976235190E-005
#    -24     7       1.0881470209E-005
#    -24     8       8.6005362365E-006
#    -24     9       2.8332785920E-006
#    -24    10       9.8485095276E-006
#    -24    11       4.2922143128E-006
#    -24    12       1.3019189372E-005
#    -24    13       1.0299098613E-004
#    -24    14       1.0045005910E-004
#    -24    15       3.7682395608E-005
#    -24    16       1.5135413887E-005
#    -24    17       7.3617174306E-005
#    -24    18       1.4388068903E-004
#    -24    19       8.5441710310E-005
#    -24    20       3.6032254734E-005
#    -24    21       8.0228104032E-006
#    -24    22       3.6826560770E-005
#    -24    23       4.8186482418E-005
#    -24    24       1.8907614973E-005
#    -23    -2       3.5796664440E-006
#    -23    -1       7.9445640428E-007
#    -23     0       4.6974213244E-006
#    -23     1       5.7335523006E-006
#    -23     2       3.5151157283E-006
#    -23     3       8.0328572689E-006
#    -23     4       1.3543216899E-005
#    -23     5       1.8226694622E-005
#    -23     6       2.4542051319E-006
#    -23     7       8.4977725219E-006
#    -23     8       9.2666104118E-006
#    -23     9       1.6435625089E-005
#    -23    10       6.0977503157E-005
#    -23    11       8.5310807581E-005
#    -23    12       4.8022837207E-005
#    -23    13       4.1198850920E-006
#    -23    14       6.6030200795E-005
#    -23    15       1.6947091617E-004
#    -23    16       1.8919190736E-004
#    -23    17       7.5224964358E-005
#    -23    18       1.6669387770E-005
#    -23    19       7.5150697804E-005
#    -23    20       1.2153147640E-004
#    -23    21       8.6975841896E-005
#    -23    22       1.9945442715E-005
#    -23    23       1.1261756319E-005
#    -23    24       2.9546579543E-005
#    -23    25       4.5817714911E-006
#    -22    -4       1.1065785010E-006
#    -22    -3       8.4367630789E-007
#    -22    -2       2.9627010963E-006
#    -22    -1       2.6995815264E-006
#    -22     0       1.1745126077E-008
#    -22     1       2.7107629785E-006
#    -22     2       1.0170002338E-005
#    -22     3       4.7967462028E-006
#    -22     4       7.1102124088E-006
#    -22     5       2.8828805805E-005
#    -22     6       3.5265973039E-005
#    -22     7       1.6974226549E-005
#    -22     8       1.8990865336E-005
#    -22     9       2.8323523791E-005
#    -22    10       2.1261492863E-006
#    -22    11       4.7598872240E-005
#    -22    12       1.2724432971E-004
#    -22    13       1.3329169744E-004
#    -22    14       5.8959793969E-005
#    -22    15       1.3694109304E-005
#    -22    16       9.1102196728E-005
#    -22    17       1.7389640194E-004
#    -22    18       1.7870591639E-004
#    -22    19       3.6266097038E-005
#    -22    20       2.9218600875E-005
#    -22    21       4.7002026421E-005
#    -22    22       7.6239419317E-005
#    -22    23       3.4926775208E-005
#    -22    24       6.5433944474E-006
#    -22    25       4.3588531605E-006
#    -22    26       2.2424317806E-006
#    -21    -5       6.8868448561E-007
#    -21    -4       1.4872073312E-007
#    -21    -3       3.6913249809E-007
#    -21    -2       6.0102203683E-007
#    -21    -1       1.3524572858E-006
#    -21     0       7.9729342989E-006
#    -21     1       6.8746390329E-006
#    -21     2       1.3475815212E-005
#    -21     3       4.1413501570E-005
#    -21     4       2.6612154166E-005
#    -21     5       1.1868169843E-006
#    -21     6       1.3620661356E-005
#    -21     7       2.6080489983E-005
#    -21     8       2.6661438506E-005
#    -21     9       5.2633965693E-005
#    -21    10       8.5571521483E-005
#    -21    11       4.2690313290E-005
#    -21    12       4.1349855929E-006
#    -21    13       9.4486424545E-005
#    -21    14       2.2341486238E-004
#    -21    15       1.8787855800E-004
#    -21    16       5.3749085298E-005
#    -21    17       3.4403975244E-005
#    -21    18       1.4634056957E-004
#    -21    19       1.0886361102E-004
#    -21    20       6.7419550493E-005
#    -21    21       2.8696882250E-005
#    -21    22       1.2347241502E-005
#    -21    23       3.4933625780E-005
#    -21    24       1.1325916867E-005
#    -21    25       9.5418513419E-006
#    -21    26       3.9222558148E-007
#    -20    -7       1.5950102126E-006
#    -20    -6       9.2205315897E-007
#    -20    -5       7.7756153332E-004
#    -20    -4       8.2060548054E-007
#    -20    -3       1.9027414158E-006
#    -20    -2       6.2284105410E-006
#    -20    -1       4.4719516242E-006
#    -20     0       7.5851173731E-003
