 Diffraction intensities for potential:pot10003.in                             
#     -6     2       8.3991644013E-004
#     -6     3       1.5784249826E-002
#     -6     4       9.1991071641E-004
#     -5     0       5.1136996974E-016
#     -5     1       5.9085111582E-016
#     -5     2       1.0671105217E-015
#     -5     3       4.9742156016E-016
#     -5     4       1.0461222714E-015
#     -5     5       4.5962244830E-016
#     -4    -2       5.9852967733E-018
#     -4    -1       3.1075988216E-016
#     -4     0       1.2165952753E-015
#     -4     1       2.2200751060E-015
#     -4     2       1.2395006495E-014
#     -4     3       2.1843050382E-014
#     -4     4       9.0305076872E-015
#     -4     5       1.7190091038E-015
#     -4     6       1.6102987608E-016
#     -3    -3       4.8242837122E-003
#     -3    -2       1.3260756493E-002
#     -3    -1       9.9839244370E-003
#     -3     0       8.8314504457E-003
#     -3     1       5.5267427449E-002
#     -3     2       6.2874507974E-002
#     -3     3       2.4042345988E-002
#     -3     4       7.3451602134E-003
#     -3     5       4.5331548072E-003
#     -3     6       8.0711760869E-003
#     -2    -4       1.4454269611E-016
#     -2    -3       8.4946457787E-016
#     -2    -2       2.8219309930E-015
#     -2    -1       6.4200987141E-015
#     -2     0       1.6586284677E-014
#     -2     1       2.8158313098E-014
#     -2     2       4.5462441737E-014
#     -2     3       3.4704724423E-014
#     -2     4       7.8910675453E-015
#     -2     5       1.4057593710E-015
#     -2     6       3.5373844519E-017
#     -1    -4       1.3243588236E-016
#     -1    -3       7.2927526229E-016
#     -1    -2       2.6787270359E-015
#     -1    -1       5.7648729908E-017
#     -1     0       3.5846714767E-015
#     -1     1       1.2937428892E-014
#     -1     2       1.6766143433E-014
#     -1     3       1.2566966615E-014
#     -1     4       8.2117242239E-015
#     -1     5       1.2687024728E-015
#      0    -5       7.4441243975E-004
#      0    -4       6.3288965026E-002
#      0    -3       2.0842298651E-002
#      0    -2       7.2858929810E-002
#      0    -1       2.9508882897E-002
#      0     0       1.4331523304E-001
#      0     1       4.1022545119E-002
#      0     2       1.2892833477E-001
#      0     3       2.2964719631E-002
#      0     4       3.9831769201E-002
#      0     5       3.5386883888E-003
#      1    -5       2.6655556684E-016
#      1    -4       2.6587262558E-016
#      1    -3       5.0350384609E-015
#      1    -2       2.3191689157E-014
#      1    -1       3.6403239659E-014
#      1     0       6.2031668724E-014
#      1     1       3.4270306066E-014
#      1     2       3.2865833730E-015
#      1     3       2.5395522105E-016
#      1     4       7.7972481439E-016
#      2    -6       7.1679024030E-017
#      2    -5       5.0446899941E-016
#      2    -4       8.5310907578E-016
#      2    -3       3.2422682675E-016
#      2    -2       2.7651544721E-016
#      2    -1       4.3407770427E-015
#      2     0       8.8996353320E-015
#      2     1       7.3761022030E-015
#      2     2       8.2674133258E-015
#      2     3       6.1950019823E-015
#      2     4       1.2329415080E-015
#      3    -6       4.8242945711E-003
#      3    -5       1.3260927754E-002
#      3    -4       9.9835286790E-003
#      3    -3       8.8308560979E-003
#      3    -2       5.5265128829E-002
#      3    -1       6.2872737091E-002
#      3     0       2.4041725197E-002
#      3     1       7.3449846342E-003
#      3     2       4.5331251220E-003
#      3     3       8.0711580216E-003
#      4    -6       2.8265772295E-016
#      4    -5       4.0169972122E-016
#      4    -4       1.2166736358E-015
#      4    -3       9.6728312142E-017
#      4    -2       1.0938534913E-015
#      4    -1       2.2941656083E-015
#      4     0       7.9456193082E-016
#      4     1       2.5135359815E-016
#      4     2       1.1402279783E-016
#      5    -5       1.3244448133E-016
#      5    -4       4.4886783214E-016
#      5    -3       4.9490931658E-016
#      5    -2       3.9204318166E-016
#      5    -1       3.8286401317E-015
#      5     0       2.4906430743E-015
#      6    -4       8.3993943637E-004
#      6    -3       1.5784264887E-002
#      6    -2       9.1993424678E-004
#     -9     0       3.8376085441E-003
#     -9     1       1.0644283342E-002
#     -9     2       1.4454275640E-002
#     -9     3       1.6212032834E-002
#     -9     4       3.0601154122E-003
#     -9     5       1.4835845924E-004
#     -8    -1       5.0849876452E-016
#     -8     0       2.2864719620E-015
#     -8     1       2.1405311051E-015
#     -8     2       7.7704554103E-015
#     -8     3       3.2107933902E-014
#     -8     4       1.6163443604E-014
#     -8     5       1.5275516114E-015
#     -8     6       1.2484041318E-016
#     -7    -2       1.3818783404E-014
#     -7    -1       5.1816304374E-016
#     -7     0       1.5129697652E-016
#     -7     1       6.3362706137E-015
#     -7     2       8.1866162620E-015
#     -7     3       8.5302980662E-016
#     -7     4       1.5758954931E-015
#     -7     5       9.2238452708E-016
#     -7     6       4.8860536871E-016
#     -6    -3       1.2282013906E-002
#     -6    -2       7.2945738747E-002
#     -6    -1       8.7128371310E-003
#     -6     0       2.0969221896E-002
#     -6     1       7.0984514085E-003
#     -6     2       3.7639081236E-002
#     -6     3       1.1649175319E-002
#     -6     4       1.3978444739E-002
#     -6     5       6.8605523746E-003
#     -6     6       3.5955340433E-002
#     -5    -4       2.0256598916E-016
#     -5    -3       6.1693547541E-015
#     -5    -2       2.3111296148E-014
#     -5    -1       5.3697691023E-015
#     -5     0       8.6445121531E-015
#     -5     1       9.1024533999E-014
#     -5     2       1.5537662259E-013
#     -5     3       8.2843412134E-014
#     -5     4       2.2379553659E-014
#     -5     5       5.0043468343E-016
#     -4    -5       4.7873748689E-014
#     -4    -4       3.5352111704E-015
#     -4    -3       5.0670669583E-016
#     -4    -2       4.4676543108E-015
#     -4    -1       5.0931217681E-016
#     -4     0       5.8572378313E-016
#     -4     1       2.2763960394E-015
#     -4     2       8.8586788944E-015
#     -4     3       2.6352628512E-015
#     -4     4       1.7465815207E-015
#     -4     5       1.8207503739E-015
#     -3    -5       9.4317105417E-002
#     -3    -4       6.8325762343E-003
#     -3    -3       1.1464073175E-001
#     -3    -2       2.1993972697E-002
#     -3    -1       5.1417979331E-003
#     -3     0       1.8287468947E-002
#     -3     1       3.1507535326E-003
#     -3     2       2.9302209262E-002
#     -3     3       6.7047874734E-003
#     -3     4       2.4571806713E-002
#     -2    -6       6.7949220165E-017
#     -2    -5       4.3341433750E-015
#     -2    -4       1.4368187414E-014
#     -2    -3       3.6485643608E-014
#     -2    -2       2.2341607506E-014
#     -2    -1       7.1857293838E-015
#     -2     0       1.4629738946E-015
#     -2     1       1.5268704999E-014
#     -2     2       8.3601081843E-015
#     -2     3       2.1059947770E-015
#     -2     4       4.5376448440E-016
#     -1    -6       7.7730974497E-016
#     -1    -5       1.5821322754E-015
#     -1    -4       2.4146206495E-015
#     -1    -3       8.0110374923E-015
#     -1    -2       1.1160115308E-014
#     -1    -1       1.4894926006E-015
#     -1     0       3.3024178350E-015
#     -1     1       6.5940831269E-015
#     -1     2       2.9049251837E-016
#     -1     3       3.0024605050E-016
#      0    -6       1.1372864784E-002
#      0    -5       5.0411110287E-002
#      0    -4       1.4794715796E-001
#      0    -3       8.6749045496E-004
#      0    -2       1.9047041543E-002
#      0    -1       4.5387641636E-002
#      0     0       4.3772553272E-002
#      0     1       9.5043383731E-003
#      0     2       7.0298194414E-002
#      1    -5       1.3678384308E-015
#      1    -4       1.3260825341E-015
#      1    -3       1.0113089100E-014
#      1    -2       1.0847934853E-014
#      1    -1       2.8216721382E-014
#      1     0       1.7765479809E-014
#      2    -4       2.5898483076E-016
#      2    -3       7.4347834212E-016
#      2    -2       4.9168321819E-015
