 Diffraction intensities for potential:ga5x5_07D10002.in                       
#    -28    13       5.9313684742E-005
#    -28    14       2.1127493404E-005
#    -28    15       3.6592688407E-005
#    -27     7       4.1180564168E-006
#    -27     8       2.3744705654E-005
#    -27     9       3.9350676896E-005
#    -27    10       2.2987214785E-005
#    -27    11       2.4550442754E-005
#    -27    12       4.4969634727E-005
#    -27    13       1.1834946863E-004
#    -27    14       1.7063395790E-005
#    -27    15       3.2044850349E-005
#    -27    16       6.2223153509E-005
#    -27    17       3.8642290213E-005
#    -27    18       9.6723591299E-005
#    -27    19       2.7054712350E-005
#    -27    20       1.1486614150E-005
#    -26     4       1.2818451043E-004
#    -26     5       2.4066397752E-005
#    -26     6       7.8700573905E-005
#    -26     7       5.4982489833E-005
#    -26     8       3.0326389775E-006
#    -26     9       8.7719389498E-005
#    -26    10       3.0992301827E-005
#    -26    11       1.9239138086E-006
#    -26    12       9.7827173253E-005
#    -26    13       2.3785938627E-004
#    -26    14       1.9260575877E-005
#    -26    15       2.4984416142E-005
#    -26    16       3.1842592340E-005
#    -26    17       7.2363171054E-006
#    -26    18       9.6624132362E-005
#    -26    19       9.5395178258E-006
#    -26    20       4.7509798729E-006
#    -26    21       8.3703263705E-006
#    -26    22       1.3998521686E-004
#    -25     2       9.6604811488E-005
#    -25     3       1.2766926750E-005
#    -25     4       8.7400878158E-005
#    -25     5       2.7643876212E-004
#    -25     6       1.0885624148E-004
#    -25     7       4.4067701280E-005
#    -25     8       6.8072379288E-006
#    -25     9       8.3412960531E-005
#    -25    10       5.1747434127E-004
#    -25    11       1.7309920946E-005
#    -25    12       1.3495181474E-004
#    -25    13       9.9723440215E-005
#    -25    14       2.6419484224E-005
#    -25    15       7.4202431872E-005
#    -25    16       4.5077612722E-005
#    -25    17       3.4088120254E-006
#    -25    18       1.0683027601E-004
#    -25    19       1.4530681521E-004
#    -25    20       2.8657433631E-004
#    -25    21       4.9722462746E-005
#    -25    22       3.2780988278E-005
#    -25    23       7.9328270281E-005
#    -24     0       5.0292965212E-005
#    -24     1       2.1004795583E-004
#    -24     2       5.7031531827E-005
#    -24     3       2.0009221034E-004
#    -24     4       1.7438276151E-004
#    -24     5       5.7533439119E-005
#    -24     6       5.9952488758E-005
#    -24     7       1.3512109932E-004
#    -24     8       3.2109883758E-005
#    -24     9       3.9596816249E-005
#    -24    10       9.3462187972E-005
#    -24    11       5.4276082145E-005
#    -24    12       1.1893708702E-004
#    -24    13       1.8057333414E-004
#    -24    14       1.3049840131E-005
#    -24    15       1.3607169793E-004
#    -24    16       1.0994938585E-004
#    -24    17       3.0266612075E-005
#    -24    18       7.7671440832E-005
#    -24    19       2.2778063189E-004
#    -24    20       1.6614771445E-004
#    -24    21       1.5012392080E-006
#    -24    22       9.3454566960E-006
#    -24    23       1.2796054122E-004
#    -24    24       1.4965066317E-004
#    -23    -2       3.8273804202E-005
#    -23    -1       2.2803768758E-004
#    -23     0       1.0671122566E-004
#    -23     1       2.2362235180E-004
#    -23     2       3.9626070815E-005
#    -23     3       1.4511871742E-004
#    -23     4       1.3715344961E-004
#    -23     5       1.9246522427E-004
#    -23     6       3.3618431795E-004
#    -23     7       7.9777883999E-005
#    -23     8       9.9343024184E-005
#    -23     9       7.7923095055E-005
#    -23    10       1.8658141951E-004
#    -23    11       1.7950608283E-005
#    -23    12       4.7739649213E-005
#    -23    13       1.2313234474E-004
#    -23    14       2.0254500029E-005
#    -23    15       2.0099585099E-004
#    -23    16       5.6943265066E-005
#    -23    17       8.4820499988E-005
#    -23    18       1.8247601932E-004
#    -23    19       1.7623789496E-004
#    -23    20       1.4937541130E-004
#    -23    21       2.5554419335E-005
#    -23    22       2.1172515754E-005
#    -23    23       7.5877224285E-005
#    -23    24       2.9431255876E-004
#    -23    25       9.2231997743E-006
#    -22    -4       1.5942463712E-004
#    -22    -3       1.0004909898E-005
#    -22    -2       4.2300171275E-006
#    -22    -1       3.9717570881E-004
#    -22     0       4.5075923353E-004
#    -22     1       1.9149687482E-005
#    -22     2       9.7620250820E-005
#    -22     3       3.2320533065E-005
#    -22     4       6.8165494059E-004
#    -22     5       8.1637648225E-005
#    -22     6       4.6856102594E-006
#    -22     7       3.7555247062E-005
#    -22     8       2.4586158735E-006
#    -22     9       3.0825308780E-005
#    -22    10       1.4672124925E-004
#    -22    11       5.0927977974E-005
#    -22    12       1.6049034760E-004
#    -22    13       1.3994894809E-004
#    -22    14       2.4526886888E-006
#    -22    15       1.7656707809E-004
#    -22    16       2.1698017220E-005
#    -22    17       1.0051274228E-004
#    -22    18       4.7017266744E-004
#    -22    19       1.4707525899E-004
#    -22    20       9.7877781359E-006
#    -22    21       3.4855853075E-005
#    -22    22       2.3197464519E-004
#    -22    23       9.2033776850E-006
#    -22    24       4.0850200633E-005
#    -22    25       8.0028496262E-005
#    -22    26       3.6241544755E-005
#    -21    -5       3.3806656981E-005
#    -21    -4       1.8790013961E-004
#    -21    -3       6.7377955369E-006
#    -21    -2       6.3912162419E-005
#    -21    -1       1.3414981063E-004
#    -21     0       3.3950924961E-004
#    -21     1       2.1083224446E-004
#    -21     2       6.2539009512E-005
#    -21     3       7.4752301845E-005
#    -21     4       3.3813852473E-004
#    -21     5       2.2938044055E-005
#    -21     6       1.0272888107E-004
#    -21     7       1.9416705083E-004
#    -21     8       8.8388704188E-005
#    -21     9       8.4766351158E-006
#    -21    10       5.4641414088E-005
#    -21    11       2.8610221877E-005
#    -21    12       9.1685989697E-005
#    -21    13       1.2266195462E-004
#    -21    14       1.4728651246E-005
#    -21    15       4.4746336649E-004
#    -21    16       9.8403330630E-005
#    -21    17       5.4304427258E-005
#    -21    18       7.0597616312E-005
#    -21    19       3.1932395028E-005
#    -21    20       8.5483972106E-006
#    -21    21       2.8632014999E-005
#    -21    22       1.2168843391E-004
#    -21    23       6.0465988524E-005
#    -21    24       3.7850962903E-005
#    -21    25       3.4232615124E-005
#    -21    26       1.2336197883E-005
#    -20    -7       7.1931252980E-005
#    -20    -6       6.9642906527E-005
#    -20    -5       2.8893924163E-004
#    -20    -4       1.8274113887E-004
#    -20    -3       1.5644603201E-004
#    -20    -2       1.3494970711E-004
#    -20    -1       5.1539207738E-005
#    -20     0       4.3576026354E-003
#    -20     1       2.5284273305E-004
#    -20     2       1.8441787107E-004
#    -20     3       4.4669073135E-005
#    -20     4       6.1048218657E-005
#    -20     5       7.2848266546E-003
#    -20     6       3.0613414728E-005
#    -20     7       4.7268838329E-005
#    -20     8       1.4981272658E-005
